,x,lda_acc,pda4_acc,pda6_acc,pda8_acc,svmlinear_acc,svmrbf_acc
1,0.03,0.56,0.98,1,1,1,0.78
2,0.031,0.7,1,1,1,1,0.82
3,0.032,0.78,0.98,1,0.98,0.96,0.76
4,0.033,0.78,1,1,1,0.98,0.98
5,0.034,0.8,1,1,1,1,1
6,0.035,0.84,1,1,1,1,0.98
7,0.036,0.84,1,1,1,1,1
8,0.037,0.74,1,1,1,1,0.98
9,0.038,0.8,0.98,0.98,0.96,1,1
10,0.039,0.72,1,1,1,1,0.92
11,0.04,0.72,1,1,1,1,1
12,0.041,0.66,1,1,1,1,1
13,0.042,0.7,1,1,1,1,1
14,0.043,0.84,1,1,1,1,1
15,0.044,0.74,1,1,1,1,0.98
16,0.045,0.78,1,1,1,1,1
17,0.046,0.7,1,1,1,1,0.94
18,0.047,0.78,1,1,1,1,1
19,0.048,0.78,1,1,1,1,1
20,0.049,0.84,1,1,1,1,0.98
21,0.05,0.74,1,1,1,1,1
