,x,lda_acc,pda4_acc,pda6_acc,pda8_acc,svmlinear_acc,svmrbf_acc
1,10,0.6,0.8,0.9,0.9,0.2,0.4
2,16,0.65,0.75,0.7,0.8,0.75,0.35
3,22,0.8,0.933333333,0.833333333,0.866666667,0.8,0.5666667
4,28,0.714285714,0.942857143,0.885714286,0.971428571,0.8,0.4285714
5,34,0.725,0.95,0.975,1,0.975,0.475
6,40,0.56,0.9,0.92,0.92,0.98,0.46
7,46,0.7,0.883333333,0.866666667,0.9,0.9833333,0.7833333
8,52,0.8,0.984615385,1,1,0.9846154,0.8615385
9,58,0.542857143,0.928571429,0.957142857,0.985714286,1,0.9428571
10,64,0.7625,0.9875,0.9875,0.9875,1,0.95
11,70,0.722222222,0.988888889,0.988888889,1,1,0.7666667
12,76,0.768421053,0.957894737,0.968421053,0.968421053,1,0.9789474
13,82,0.8,0.98,0.99,0.99,0.99,0.99
14,88,0.772727273,0.990909091,0.990909091,1,1,0.9636364
15,94,0.783333333,0.991666667,1,1,1,0.9833333
16,100,0.76,0.992,0.992,1,0.992,0.992
