,x,lda_acc,pda4_acc,pda6_acc,pda8_acc,svm_linear_acc,svm_rbf_acc,svm_linear_mse,svm_linear_mae,svm_rbf_mse,svm_rbf_mae,lda_mse,pda4_mse,pda6_mse,pda8_mse,lda_mae,pda4_mae,pda6_mae,pda8_mae
1,2,0.68,0.9,0.92,0.88,0.96,0.84,0.06,0.06,0.24,0.24,0.04,0.08,0.04,0.04,0.04,0.08,0.04,0.04
2,3,0.52,0.746666667,0.666666667,0.76,0.7066667,0.42666667,0.2666667,0.2666667,0.6266667,0.5733333,0.866666667,0.386666667,0.346666667,0.306666667,0.6,0.36,0.346666667,0.306666667
3,4,0.45,0.46,0.56,0.49,0.54,0.27,0.64,0.58,1.09,0.83,0.97,0.66,0.49,0.46,0.77,0.56,0.45,0.44
4,5,0.4,0.44,0.48,0.456,0.456,0.304,0.824,0.632,1.744,1.104,1.488,0.84,0.848,0.6,0.88,0.632,0.64,0.568
5,6,0.373333333,0.446666667,0.393333333,0.44,0.3666667,0.14666667,1.1933333,0.7933333,3.08,1.48,1.713333333,0.82,0.726666667,0.813333333,0.926666667,0.62,0.553333333,0.6
6,7,0.388571429,0.331428571,0.4,0.394285714,0.3542857,0.10857143,1.2057143,0.8628571,2.44,1.2742857,2.04,1.137142857,0.868571429,0.822857143,1.022857143,0.76,0.651428571,0.685714286
7,8,0.3,0.4,0.335,0.37,0.225,0.145,1.755,1.035,4.465,1.815,2.26,0.83,0.945,0.85,1.13,0.63,0.695,0.67
8,9,0.288888889,0.44,0.395555556,0.435555556,0.2711111,0.11555556,1.6933333,1.0622222,5.2844444,1.8977778,2.244444444,1.231111111,0.991111111,1.128888889,1.106666667,0.795555556,0.715555556,0.791111111
9,10,0.28,0.364,0.32,0.396,0.224,0.092,2.688,1.328,5.268,1.924,2.304,1.304,1.052,1.036,1.104,0.856,0.764,0.788
10,11,0.283636364,0.370909091,0.356363636,0.334545455,0.1963636,0.08,3.0436364,1.4145455,5.8472727,2.0581818,2.458181818,1.28,1.24,1.090909091,1.134545455,0.843636364,0.789090909,0.778181818
11,12,0.253333333,0.316666667,0.333333333,0.336666667,0.15,0.09666667,3.24,1.42,7.35,2.21,2.683333333,1.466666667,1.246666667,1.13,1.27,0.9,0.806666667,0.77
