,x,lda_acc,pda4_acc,pda6_acc,pda8_acc,svm_linear,svm_rbf
1,0,0.66,0.92,0.96,0.98,0.92,0.92
2,1,0.64,0.98,0.98,0.98,0.84,0.44
3,2,0.62,0.9,0.94,0.98,0.88,0.4
4,3,0.6,0.98,0.98,1,0.84,0.38
5,4,0.62,0.94,0.86,0.92,0.78,0.4
6,5,0.64,0.9,0.92,0.96,0.92,0.54
7,6,0.7,1,1,0.96,0.92,0.58
8,7,0.68,0.96,0.96,0.96,0.88,0.54
9,8,0.64,0.94,0.98,0.96,0.9,0.4
10,9,0.48,0.98,0.98,0.96,0.98,0.4
11,10,0.78,0.96,1,1,0.9,0.46
12,11,0.76,0.94,0.98,0.96,0.96,0.56
13,12,0.78,0.88,0.9,0.92,0.86,0.7
14,13,0.58,0.92,0.9,0.96,0.86,0.4
15,14,0.7,0.98,0.98,0.98,0.96,0.56
16,15,0.82,0.9,0.9,0.94,0.92,0.74
17,16,0.74,0.9,0.98,0.92,0.94,0.52
