,x,lda_acc,pda4_acc,pda6_acc,pda8_acc,svm_linear,svm_rbf
1,0,0.64,0.96,0.96,0.96,0.94,0.6
2,1,0.58,0.74,0.7,0.7,0.72,0.48
3,2,0.58,0.6,0.5,0.62,0.62,0.4
4,3,0.54,0.54,0.54,0.64,0.44,0.38
5,4,0.54,0.5,0.44,0.38,0.54,0.4
6,5,0.48,0.56,0.4,0.36,0.52,0.4
7,6,0.34,0.5,0.52,0.46,0.48,0.34
8,7,0.52,0.4,0.4,0.46,0.44,0.42
9,8,0.48,0.42,0.52,0.5,0.62,0.4
10,9,0.5,0.5,0.54,0.52,0.48,0.46
11,10,0.48,0.52,0.56,0.52,0.5,0.36
12,11,0.58,0.5,0.5,0.5,0.56,0.28
13,12,0.4,0.48,0.44,0.42,0.44,0.38
14,13,0.5,0.44,0.42,0.48,0.56,0.38
15,14,0.44,0.36,0.4,0.46,0.34,0.36
16,15,0.48,0.52,0.52,0.52,0.4,0.46
17,16,0.54,0.46,0.44,0.46,0.54,0.32
